1,323G,R.I.O.T.,86.3936839775
2,8110C,Steel Phoenixes-MWHS,80.1934445679
3,13800B,IFT Team B,78.2820850003
4,1970K,Knight Shift,77.0543291032
5,25461Z,Uncharted,76.8856119329
6,4911A,High Voltage,73.9426824284
7,6135W,CHHS Bruins W,71.7832253339
8,1028B,SV_Wall_Hacks,68.9591601197
9,1008M,VARC High School,68.7487878537
10,4004Y,Y-Not!,68.3465739463
11,12G,Puzzles?,68.0667862007
12,7536A,Ricky&#039;s Sandwich Shop,67.0532031356
13,1859X,JCTC Gladiators,66.0081153767
14,2360H,Helix,65.9865049481
15,2131X,Schmetterlinge &amp; Einhorn,64.5584615258
16,2114X,Brother Bots,63.2598082805
17,21000C,21st_Century_Ninja,62.430167758
18,2131E,How Do You Turn This On?,60.866721169
19,98377C,Tigris ex Machina III,57.9480928209
20,9411C,GearsBeGrinding,57.6608500863
21,3141S,Lochnut Monster,57.2549043133
22,248F,Drop Bears,56.3227669538
23,4410C,Technocracy-Charlie,55.9282417382
24,1492X,W.A.S.A.B.I.,55.9017235884
25,3815M,Spitfire (Blitz Alliance),55.8435910371
26,4495P,Wolverines P,54.9553056875
27,288A,Fur-ocious,54.5014341364
28,5829B,Westville,54.4165321256
29,4149G,Iron Chargers (G Team),54.3228271456
30,1826Z,The Fuse,53.815595051
31,4148A,Iron Cowboys,53.5281319999
32,9019R,Robotic Riders,53.2698528242
33,33172A,Doral Robotics,53.0931825345
34,6291B,Team Claw,52.9776284105
35,2501B,RoboJackets,52.9050548559
36,40500H,Hercules,51.8676225207
37,98177A,Tianjiabing-H1     ,51.7087268107
38,99905A,RoboGryphs,51.7072409448
39,5S,a.k. 20/20,51.5953379541
40,7209C,Excelsior A.M.E. Eagles,51.3959477611
41,333R,Los Robos,51.2534263512
42,1563A,A-team,51.1909978107
43,8675C,Black Sheep,50.7043539118
44,97371A,DC Gearheads A,50.0127939613
45,6793A,X-Bots A team,49.9456917498
46,6891A,Ace of Spades,49.5726765211
47,9922Z,Wolves- Of Mullets &amp; Men,49.2786438848
48,98725B,Falcon,49.0802105505
49,11950A,TPS Hawks Robotics U,48.7820189671
50,3018V,VEXcalibur,48.5249612445
51,77788G,Cyber Eagles,48.4960951635
52,7536D,Vulcan,48.2085245161
53,42700A,The Crusaders,48.2062672734
54,288G,Easy as  ,47.4767693517
55,21246J,Dublin Robotics - Rover,47.2012485954
56,687E,Nerd Herd E,46.1090987094
57,7133A,RoboHawks A,45.3846672905
58,91C,VEXMEN: Cyclops,45.0759355818
59,624K,CRyptonite 624K,44.8100424541
60,1341W,Monticello Robotics,44.190564282
61,2587K,DiscoBots - Kappa,43.8741420739
62,53A,Area 53,43.855337447
63,8601D,BLACK MAGIC,42.8532927217
64,1898M,Okay Handsign Eyes,42.7333438057
65,81N,VEXMEN:Nightcrawler,42.720568889
66,99451B,Louisville Centrons 2,42.2708328225
67,1492V,W.A.S.A.B.I.,41.6644719763
68,2477Z,Marauder Rascals,40.2936639598
69,7422H,Robotic Burros,40.2246383006
70,916A,BobCATS,39.4008299694
71,5300A,#DIFS,37.2197006621
72,2398K,Tech Walkers,36.7284175918
73,10E,Exothermic Evolution,36.2358005357
74,2567X,The Porta-Botz! Asylum X,35.6671185755
75,244B,Danger Cone,35.6343338558
76,7870E,CHS Robotics,35.0348512965
77,5450A,Freeze Frame A,34.8527987553
78,7776B,SHHS Bears,34.1776852368
79,3815F,Storm,32.947412527
80,6024B,Bruhsiden,32.7724845843
81,4255A,Steel Pursuit,31.4194179304
82,355V,Velocity,30.2185458361
83,2775B,Jackson Area Robotics,30.1628800328
84,2719C,surebreC,29.7463088376
85,134H,Team Discovery - Hotel,29.0446230175
86,7232X,Space Monkey Mafia,27.9176021944
87,9922A,Wolves- Gucci,25.57836776
88,91709A,Bionic Resilience,22.015644173
89,7700S,Rolling Robots,21.2696757744
90,9050D,Geek Squad,19.676030292
91,1045B,OPS - Fred,16.536108638
92,66099A,Lord Tachanka!,12.2786884623
93,1064J,OPS - EngiNerds,10.0158107395
