9715E,Chad Braunsen
8299B,Beechfield Beavers
9715S,Spartan Lift
8839H,HMS techbots
4613A,Barker Redbacks
5988,Paso Robotics
5985,Patient Zero
2310N,RoboDynamix
8244B,CECYTEH  Acaxochitl n 2
8244A,CECYTEH Acaxochitl n 1
78758A,San Antonio Middle School
598B,Loudonville High School B
598A,Loudonville High School A
1939B,Taft Robotics
1939A,Taft Robotics
98853D,CyberHawks
98853A,CyberHawks
98853C,CyberHawks
98853B,CyberHawks
37576A,Moondust
272,Spartans
277,Raider Robotics
279,Osseo Bomb Squad
4679B,TIGRES ISB
6302V,Rockets
6302W,Rockets
925X,Wolves
2161D,RoboHawks
96743A,Waimea Na Paniolo
2161A,RoboHawks
6302Y,Socket Rockets
2161C,RoboHawks
2161B,RoboHawks
5373C,Broms3
1070B,Royal Robotrons
1070A,Royal Robotrons
11986M,TKHS Robotics
10001G,MEJHS Tigerz
10001B,MEJHS Black
6467A,MAS01
6467B,MAS02
1201Z,Digital Dynamics
9256,RebelRobots
1725A,Pikachu
5246B,LHY TEAM B
5246C,LNHY Team C
5246D,LNHY Team D
9253,Campion Robotics
9250,Robo-Hawks
10704,Pukalani STEM-imagineers
10001W,PWMS W
24582A,Sabres Robotics
10001S,PWMS S
10001P,PWMS P
1201D,Digital Dynamcs
11986W,TKHS Robotettes
1201A,Digital Dynamics
1201C,Digital Dynamics
1201B,Digital Dynamics
1997B,Rolling With Porpoise
1997A,Rolling With Porpoise
8059K,Blank.
8059J,Blank.
1670D,Destiny
8059E,Blank.
8059D,Blank
1670A,The A-Team
8059B,Blank.
8059A,Blank.
1670X,Fed-X 4.0
8059X,Blank.
1670W,Weeping Angels
8059S,Blank.
51506J,Waybots
1305B,NNSRI - Northern
1305C,NNSRI (Near North Students Robotics Initiative) - Chippewa
1305W,NNSRI (Near North Students Robotics Initiative) - Widdifield
9031B,Robotigers
9031C,Robotigers
99604,Engineers with Attitude
9031H,Robotigers
9031T,Robotigers
97464B,Haidian Foreign Lan Sch B
1898R,Robostangs
4479A,Nanhai Experimental Middle School
5903Z,Vex-Inators
5903X,Vex-Inators
5903Y,Vex-Inators
9793A,Billings Senior 1
9793C,Billings Senior 3
9793B,Billings Senior 2
9793E,Billings Senior 5
9793D,Billings Senior 4
9793F,Billings Senior 6
2761B,IronHorse Robotics
2761A,IronHorse Robotics
549X,Infinite Power
2350A,Titanium
1177,S.H.I.R.T
1174,Robo Raiders
1173,Latexo Tigers
549Z,Simplicity
1171,LAMP Robotics
4096A,the Hawks
4442M,IPA MS Navibots
2976A,CBHS Robotics
2976C,1 Squared
73501T,The Metal Builders
4442U,IPA US Navibots
2025B,Raider Robotics
2025C,Raider Robotics
2025A,Raider Robotics
4442Z,Navigator Robotics
2025D,Raider Robotics
4442X,Navigator Robotics
9454A,Gering STE A
9454C,Gering STE C
9454B,Gering STE B
9454D,Gering STE D
97933,Ibn Roshd 1
5417A,Team A of HHCKLA Buddhist Leung Chik Wai College
5417B,Team B of HHCKLA Buddhist Leung Chik Wai College
6090A,Ibn Roshd
8548,Deep Run TSA
8268B,jinchang NO.1 MS B
8544,Lyneham High Lions
8546,COBACH CHIAPAS
2656B,Quasics
2656A,Quasics
98409B,Qinzhou NO.2 B
98409A,Qinzhou NO.2 A
5562C,Chocolate
5562B,Great Melinkos
5562A,Infinitus
99887D,Shengteng Tech D
99887A,Shengteng Tech A
99887C,Shengteng Tech C
99887B,Shengteng Tech B
22137G,GCA Robotic Owls
1283A,RoboPirates
854D,Inno Park
6588B,KNOX BOTS 2.0
854C,Inno Park
854B,Inno Park
9260C,WHS 3
8296,Circuit Breakers
5766A,The Valley Project
390,CECYT 09 CD. JUAREZ 1
396,East Central HS Robotics 
394,Highlands Inter Robotics
9985A,Beijing No.57 high school
374X,Vandroids
374V,Vanguardians
7528F,Hongkou NO.3 CPS F
7528E,Hongkou NO.3 CPS E
7528D,Hongkou NO.3 CPS D
7528C,Hongkou NO.3 CPS C
7528B,Hongkou NO.3 CPS B
7528A,Hongkou NO.3 CPS A
95205B,Harrison B
99975A,ACE
95205H,Harrison A
80733A,Valley Edinburg Titans
98100,Eagles Gold
98103,Bruinbots
57996A,Caterpillars
80733X,Valley Edinburg Titans
95205W,Harrison C
98647,West Greene
39B,Tachyon
39A,...
20944A,Apollo Vex Robotics
39K,System Overload
39J,The Metalloids
99854,Blue Devils
39W,The Bee Team
39V,Victors
1193U,Jay County High School
39Z,The Zip Ties
39Y,Yolt
39X,Terminal Velocity
98177C,Tianjiabing-H3     
99998,Vandals
56655B,Wasatch B
56655A,Mortar Fury
8898A,CSP Robotics
72754A,Tiger Boise
6490B,Bulldog Bots
5708A,Wired Waska
5708B,Wired Waska Too
6490A,Bulldog Bots
2193A,Team Epic
2193B,Team Epic
2193C,Team Epic
2193D,2193
2193E,2193
2193F,2193
99749N,Gababots!
11314B,American School
99749M,Vikings#2
6001D,FORTE
6001E,Crabs
6001F,Goal Diggers
6001G,Kryptec
6001A,Gorillas
6001B,Muddawgs
6001C,Tech-No-Logic
6814,Team Aerospace
6817,El Parral A
6816,TVex
6834Z,Trojan Knights
33882B,DCFWMS B
33882A,DCFWMS A
5995C,Ning PO No 2 College C
5995B,Ning PO No 2 College B
6302U,Rockets
98453A,Granger Spartans 1
98453C,Granger Spartans 3
98453B,Granger Spartans 2
23303A,Klein Oak Team 1
3116S,Team Control Freaks
975R,BAITA
681A,Bulldog Robotics
1570A,Robo Ravens
1570B,Robo Ravens
1570C,Robo Ravens
1570D,Robo Ravens
18341B,ShoR-Yuken
18341A,Chicken Biskit
9121B,Colonel Robotics
9121C,Colonel Robotics
9121A,Colonel&#039;s Fried Servos
6302Z,Rockets
98775K,Krhs
3033D,R4
7566,Mint Tron
3033A,R4
3033B,R4
3033C,R4
7616E,NO.2&NO.9 MSch United E
